Znamię;Dragonfly;2002;6/10
Whisky dla aniołów;The Angels' Share;2012;6/10
American Pie: Zjazd absolwentów;American Reunion;2012;5/10
Niewierni;Les Infidèles;2012;2/10
Wieczór panieński;Bachelorette;2012;5/10
Nad życie;Nad życie;2012;6/10
Uprowadzona 2;Taken 2;2012;6/10
Uprowadzona Alice Creed;The Disappearance of Alice Creed;2009;7/10
Monster;;2003;7/10
Słaby punkt;Fracture;2007;7/10
Scott Pilgrim kontra świat;Scott Pilgrim vs. the World;2010;4/10
Jak ukraść Księżyc;Despicable Me;2010;6/10
Zatoichi;Zatôichi;2003;5/10
Wielki rok;The Big Year;2011;6/10
Podróż na tajemniczą wyspę;Journey 2: The Mysterious Island;2012;4/10
Świadek bez pamięci;The Lookout;2007;5/10
W słusznej sprawie;Just Cause;1995;7/10
Igrzyska śmierci;The Hunger Games;2012;5/10
Faceci od kuchni;Comme un chef;2012;6/10
Ted;;2012;7/10
Zodiak;The Zodiac;2005;5/10
Red;Red;2010;6/10
Faceci w czerni 3;Men in Black 3;2012;4/10
Hotel Marigold;The Best Exotic Marigold Hotel;2011;6/10
Crime d'amour;;2010;6/10
Szkoła uczuć;A Walk to Remember;2002;5/10
The Road;;2011;4/10
Męska historia;The History Boys;2006;6/10
Jak urodzić i nie zwariować;What to Expect When You're Expecting;2012;5/10
Lep na muchy;Flypaper;2011;6/10
Pewnego razu w Meksyku: Desperado 2;Once Upon a Time in Mexico;2003;6/10
21 Jump Street;;2012;6/10
W Brighton;Brighton Rock;2010;4/10
Den Som dræber - Fortidens skygge;;2011;6/10
Kamieniarz;Stenhuggaren;2009;4/10
StreetDance 2 3D;;2012;4/10
Single od dziecka;Friends with Kids;2011;5/10
Zakochani w Rzymie;To Rome With Love;2012;6/10
Pan życia i śmierci;Lord of War;2005;6/10
Człowiek z Cold Rock;The Tall Man;2012;6/10
Straszny film 4;Scary Movie 4;2006;6/10
Transporter 2;Transporter 2;2005;6/10
Matylda;Matilda;1996;6/10
Straszny film;Scary Movie;2000;6/10
Zakochana złośnica;10 Things I Hate About You;1999;6/10
Zejście 2;The Descent: Part 2;2009;6/10
Załoga G;G-Force;2009;5/10
Harry Potter i Komnata Tajemnic;Harry Potter and the Chamber of Secrets;2002;7/10
Harry Potter i Książę Półkrwi;Harry Potter and the Half-Blood Prince;2009;7/10
The Oxford Murders;;2008;6/10
Dlaczego nie!;Dlaczego nie!;2007;4/10
Uciekająca panna młoda;Runaway Bride;1999;6/10
Poszukiwacze zaginionej Arki;Raiders of the Lost Ark;1981;7/10
Hannibal;Hannibal;2001;7/10
Zakochany Nowy Jork;New York, I Love You;2009;5/10
GoldenEye;GoldenEye;1995;7/10
Zaczarowana;Enchanted;2007;5/10
Millennium: Dziewczyna, która igrała z ogniem;Flickan som lekte med elden, Millennium part 2;2009;7/10
Millennium: Mężczyźni, którzy nienawidzą kobiet;Män som hatar kvinnor;2009;8/10
Millennium: Zamek z piasku, który runął;Luftslottet som sprängdes;2009;7/10
Facet z ogłoszenia;Must Love Dogs;2005;6/10
Love Story;Love Story;1970;6/10
Żandarm z St. Tropez;Le Gendarme de Saint-Tropez;1964;7/10
Święty;The Saint;1997;7/10
Recepta na szczęście;Smart People;2008;5/10
17 Again;17 Again;2009;5/10
Alfie;;2004;4/10
Mroczny Rycerz powstaje;The Dark Knight Rises;2012;7/10
Hugo i jego wynalazek;Hugo;2011;7/10
Dyktator;The Dictator;2012;4/10
Safe House;;2012;6/10
Raj na ziemi;Wanderlust;2012;3/10
Połów szczęścia w Jemenie;Salmon Fishing in the Yemen;2011;6/10
Kochanie, poznaj moich kumpli;A Few Best Men;2011;3/10
Przyjaciel do końca świata;Seeking a Friend for the End of the World;2012;6/10
Jeszcze dłuższe zaręczyny;The Five-Year Engagement;2012;6/10
Sen Kasandry;Cassandra's Dream;2007;5/10
Czerwony smok;Red Dragon;2002;7/10
Szepty;The Awakening;2011;6/10
Projekt X;Project X;2012;6/10
Człowiek na krawędzi;Man on a Ledge;2012;5/10
Łowcy głów;Hodejegerne;2011;7/10
Jestem Bogiem;Limitless;2011;6/10
Kobieta w czerni;The Woman in Black;2012;5/10
Dziewczyna z ekstraklasy;She's Out of My League;2010;6/10
Nietykalni;Intouchables;2011;7/10
Mission: Impossible - Ghost Protocol;Mission: Impossible - Ghost Protocol;2011;5/10
Och, Karol 2;Och, Karol 2;2011;3/10
